vlogId Extr Agr Cons Emot Open
VLOG293 3.5 3.8 3.4 3.6 4.9
VLOG294 5.4 5.3 5 5.7 5.5
VLOG295 5.6 4.3 4.9 4.5 5.2
VLOG296 3.2 5.1 4 5 3.6
VLOG297 4.5 5.1 5.1 5 4.7
VLOG298 5.8 4.9 5.2 5.8 5.6
VLOG299 2.9 2.5 2.3 2.2 2.7
VLOG300 4.3 3.6 2.4 3.7 3.5
VLOG301 4.08333333333333 5.66666666666667 4.41666666666667 4.08333333333333 4.58333333333333
VLOG302 4.7 4.8 5.4 4.7 5.5
VLOG303 3.7 4.8 4.5 4.7 4.6
VLOG304 4.5 6.3 6.1 6.4 4.9
VLOG305 6.6 6.1 4.1 5.1 6
VLOG306 4.3 5.2 4.9 5.4 4.6
VLOG307 5.3 3.8 4.4 4.2 4.5
VLOG308 5.1 6.4 5.4 6.1 6.1
VLOG309 5.3 4.1 4.9 4.5 5.2
VLOG310 6 4 3.9 3.9 4.7
VLOG311 4.6 5.6 6 6.1 5
VLOG312 3.91666666666667 4.58333333333333 4.25 5.08333333333333 4.41666666666667
VLOG313 5.7 4.9 4.5 4.9 4.6
VLOG314 6.6 3.6 2.4 3.4 5.2
VLOG315 4.4 5.7 5.1 5.2 4.8
VLOG317 5.4 5.4 4.7 4.9 5.4
VLOG318 4 4.1 5.7 5.2 3.8
VLOG319 3.6 5.5 4.7 5.4 4
VLOG320 5.57142857142857 5 4.14285714285714 4.71428571428571 5
VLOG321 4.7 4.4 4.7 5.1 5.1
VLOG322 5.5 5 4.1 5.3 4.9
VLOG323 5.6 5 4.7 4.8 4.6
VLOG324 3.9 4.3 4 4.5 3.6
VLOG325 4.8 3.1 3.6 3.9 4.6
VLOG326 6.6 5.4 4.4 4.8 5
VLOG327 2 4.4 2.9 4.2 4
VLOG328 3.7 5 5.5 5.4 5.1
VLOG329 4.1 5.4 4.7 4 4.9
VLOG330 4 4.7 5.1 5.1 5
VLOG331 4.5 4.8 4.6 4.8 4.9
VLOG332 5.1 4.5 4.5 4.9 4.6
VLOG333 6.2 5.5 4.3 4.4 5.2
VLOG334 5.5 4.9 3.7 4.8 6
VLOG335 3.7 4.4 4.5 4.5 4
VLOG336 2.5 5.3 4.2 4.2 4.5
VLOG337 3.8 4.6 2.8 4.2 3.3
VLOG338 5.6 4.3 4.6 4.5 4.3
VLOG339 4.2 5 4.8 5.6 5.1
VLOG340 3.8 2.6 3.6 3.1 3.9
VLOG341 3.83333333333333 6.08333333333333 5.66666666666667 6 5.41666666666667
VLOG343 5.3 6.1 4.3 5.4 4.7
VLOG344 5.4 2 4.4 3.4 3.4
VLOG345 5.2 4.2 4.2 4.5 4.3
VLOG346 4.9 4.2 4.9 4.4 5.3
VLOG347 5 4.4 3.4 4.7 4.1
VLOG348 3.8 5.1 4.8 5.1 4.5
VLOG350 4.8 4.5 3.9 5.4 3.7
VLOG351 4.8 4.7 5.4 5.5 4.4
VLOG352 4.9 5.2 5 5.4 5.3
VLOG353 6.4 4.3 2.9 4.6 3.9
VLOG355 4.1 4.5 5.8 4.8 4.6
VLOG357 4.5 4.8 3.9 4.5 3.8
VLOG358 5.1 5.3 4.9 4.3 4.8
VLOG359 2.7 5.7 5.4 6.1 4.3
VLOG360 5.4 4.3 3.7 4.6 5.2
VLOG361 4.1 3 3.5 3.3 3.5
VLOG363 6.3 5.1 4.9 4.7 5.5
VLOG364 4.5 4.5 4.7 5.1 3.8
VLOG365 5.5 5 4.8 5.5 5
VLOG366 4 3.58333333333333 4.75 4.5 4.08333333333333
VLOG367 3.8 5.1 4.8 4.8 4.5
VLOG368 3.76190476190476 4.19047619047619 3.69047619047619 2.69047619047619 4.45238095238095
VLOG369 6.4 5.2 4.3 4.7 6
VLOG370 5.8 5.2 4 5.1 5
VLOG371 6.2 4.6 4.6 4.4 5.8
VLOG372 4.5 3.8 4.7 3.7 4.6
VLOG373 3.5 4.9 5.5 3.6 3.5
VLOG374 4.8 4.4 3.8 4.7 6.2
VLOG375 4.4 5.8 4.7 5.7 3.7
VLOG376 5 3.9 3 3.6 3.7
VLOG377 5.3 4 4 4.2 5.1
VLOG378 5.5 5.16666666666667 5.25 5.33333333333333 5.25
VLOG379 3.6 4.8 4.3 4.7 4.8
VLOG380 5.5 3.1 3.5 2.5 4.5
VLOG381 5.5 4.4 4.5 4.2 5.2
VLOG382 4.6 5.2 4.8 4.9 4.6
VLOG384 5.6 4 4.6 4.5 5.9
VLOG385 5 5.9 6.2 5.5 4.9
VLOG386 6.1 6.4 4.3 6.1 5.7
VLOG387 3.6 5.1 5 4.2 4
VLOG388 3.8 3.7 4.2 5.1 5.1
VLOG389 4.7 4.6 4.2 5.1 4.3
VLOG390 4.3 3.4 4.2 4.6 4.3
VLOG391 3.7 4.6 4.5 4.7 4.4
VLOG392 5.1 5.3 4.1 4.8 4.5
VLOG393 4.6 4.5 4.8 4.9 5.1
VLOG394 4.3 3.9 4.5 5 4.4
VLOG395 2.9 3.3 4.7 4.8 3
VLOG396 4 5.4 4.6 5.6 4.8
VLOG397 4.6 5.1 5.1 5 5.4
VLOG398 4 5 3.4 4.2 4.7
VLOG399 5.3 5.5 3.8 5.1 4.7
VLOG400 2.1 4.3 4.4 3.5 3.7
VLOG401 5.4 5.1 3.6 5.6 3.5
VLOG402 5.8 5 4.1 5.2 5.6
VLOG403 5.8 4.3 5.8 5.7 5.7
VLOG404 5.8 5.1 4.6 4.9 4.3
VLOG405 3.8 4.6 3.2 4.7 3.7
VLOG406 5.1 5.4 3.7 5.1 5.1
VLOG407 2.91666666666667 5.5 5.5 4.16666666666667 4.66666666666667
VLOG408 5 5.4 2.9 3.9 6.3
VLOG409 6.2 4.9 3.9 4 5.5
VLOG410 5.4 4.7 4.3 5.3 5.6
VLOG411 4.6 4.9 4.8 3.8 5.1
VLOG412 5.8 2.8 4.8 3.2 4.5
VLOG413 4.2 5.2 4.7 4.8 3.6
VLOG414 5 5 6.2 5.7 5
VLOG415 3.1 4.7 5.8 5.4 4.7
VLOG416 3.9 5.5 4.6 5.2 4.2
VLOG417 3.9 5.2 5.3 4.6 4.5
VLOG418 4.83333333333333 5.25 5.08333333333333 5.16666666666667 4.41666666666667
VLOG419 2.7 4.6 5.2 5 3.8
VLOG420 3.4 3.7 3.4 3.4 3.2
VLOG421 4.9 3.5 3.3 3.8 2.8
VLOG422 3.8 4.9 4.8 4.9 4
VLOG423 4 5.4 2.9 5.6 3.8
VLOG424 6.5 2.9 4.7 2.9 5.6
VLOG425 4.4 5.1 4.6 4.8 5.1
VLOG426 3.7 5.3 5 5.8 4.1
VLOG427 4.7 5.8 4.4 4.7 4.8
VLOG428 3.5 2.9 3.7 3.7 3.7
VLOG430 3.7 4.9 3.8 4.4 4.5
VLOG431 3.2 5.1 4.2 4.3 3.9
VLOG432 3.1 5 4.8 4.4 4.6
VLOG433 5.6 3.3 5.1 4.5 5.4
VLOG434 4.3 2.6 4.4 3.9 3.5
VLOG435 4.8 4.9 4.8 5.5 5.3
VLOG436 4.9 5 5.2 4.9 4.4
VLOG437 3.8 2 3.9 2.8 2.4
VLOG438 2.6 5.2 3.5 4.7 3.6
VLOG439 5.6 5.9 5 5.9 5.7
VLOG440 4.6 4.9 4.2 4.8 4.7
VLOG441 4.8 5.8 5.1 5.9 4.1
VLOG442 5.5 4.9 4.1 5 5.2
