vlogId mean.pitch sd.pitch mean.conf.pitch sd.conf.pitch mean.spec.entropy sd.spec.entropy mean.val.apeak sd.val.apeak mean.loc.apeak sd.loc.apeak mean.num.apeak sd.num.apeak mean.energy sd.energy mean.d.energy sd.d.energy avg.voiced.seg avg.len.seg time.speaking voice.rate num.turns hogv.entropy hogv.median hogv.cogR hogv.cogC
VLOG26 223.17 0.26776 1.3839 0.43354 3.6869 0.29828 0.75214 0.18133 0.021848 0.40994 6.2703 2.3389 0.0042849 2.4541 1.2902e-05 0.0020956 0.29923 2.188 0.72875 0.038026 0.33307 4.294777 0.027078 133 158
VLOG27 227.89 0.27762 1.6691 0.90264 3.7834 0.38707 0.72231 0.25311 0.047024 1.248 11.932 9.2476 0.0005799 1.5885 -5.6153e-07 0.00023668 0.72089 2.3253 0.2326 0.020642 0.10003 6.819466 0.115444 159 175
VLOG28 140.13 0.28934 1.1811 0.47226 3.5834 0.31174 0.82555 0.1459 0.015019 0.23921 3.5991 2.5152 0.00097762 1.3877 1.9648e-05 0.00062237 0.33089 1.56 0.52014 0.036923 0.33342 2.880514 0.013793 121 158
VLOG29 256.48 0.31339 1.3543 0.50285 3.8022 0.28015 0.69015 0.17402 0.024492 0.53397 7.6838 3.2723 0.01202 1.1677 5.3311e-05 0.0037726 0.23339 2.2438 0.6359 0.045721 0.28341 5.03686 0.026627 155 190
VLOG30 293.12 0.25086 1.4699 0.48663 3.6134 0.32808 0.66484 0.26461 0.026357 0.51137 6.7987 4.8074 0.0019001 1.9824 1.7628e-06 0.0014163 0.23263 4.2093 0.83918 0.044029 0.19936 6.847918 0.140127 136 145
VLOG31 256.44 0.18694 1.8352 0.47532 3.7132 0.22203 0.80313 0.12144 0.031311 0.45971 9.7092 3.8865 0.044974 0.70299 -0.00026194 0.016711 0.25346 4.3373 0.8677 0.046419 0.20005 7.189106 0.204734 139 150
VLOG32 159.24 0.53525 1.1683 0.44036 3.6684 0.24357 0.75148 0.14535 0.017491 0.5863 6.7042 3.7955 0.012324 1.2104 -0.00012769 0.0057657 0.35982 1.8938 0.69459 0.034562 0.36676 5.481138 0.042763 146 174
VLOG33 241.61 0.1746 1.605 0.42028 3.4956 0.44832 0.84324 0.12937 0.026057 0.33811 6.2896 3.9447 0.080324 0.88167 -0.00027743 0.024814 0.29035 1.6077 0.67058 0.040605 0.41711 7.230414 0.32598 114 145
VLOG35 217.31 0.45507 0.73036 0.30489 3.8834 0.20835 0.52905 0.17848 0.013767 0.58845 3.4974 1.7445 0.0032043 0.8849 -4.9421e-07 0.0012354 0.39699 9.5627 0.95652 0.028165 0.10003 5.080687 0.050092 130 167
VLOG36 205.01 0.30043 1.0707 0.52664 3.8322 0.25155 0.65519 0.21769 0.021165 0.51883 5.1472 3.3985 0.0019774 1.0665 5.6731e-06 0.0010792 0.15973 3.5703 0.83329 0.057939 0.2334 5.746883 0.073955 138 154
VLOG37 190.23 0.35102 1.4413 0.52066 3.7095 0.29152 0.75122 0.18561 0.022955 0.52585 7.5847 3.1258 0.018644 1.122 -4.9209e-05 0.0076392 0.33224 1.9811 0.72582 0.037445 0.36637 6.64835 0.290323 125 162
VLOG38 153.27 0.32754 0.95741 0.38378 3.7673 0.28755 0.6426 0.23207 0.01688 0.32265 4.1901 1.5954 0.0022343 1.7603 -5.4453e-05 0.0014263 0.14186 1.5406 0.63947 0.062809 0.41509 7.113169 0.222222 130 168
VLOG39 141.06 0.76796 1.0275 0.44194 3.5682 0.38928 0.737 0.28445 0.012829 0.36063 2.5911 2.1178 0.010086 1.1897 4.2697e-05 0.0042399 0.44012 1.7168 0.57242 0.031221 0.33342 6.484251 0.115068 139 154
VLOG42 153.27 0.56894 0.6278 0.21957 3.661 0.21207 0.66933 0.1912 0.013816 0.83475 5.8765 2.6686 0.0049729 1.4352 4.164e-05 0.0025101 0.2997 2.6362 0.74713 0.038558 0.28341 2.803873 0 143 167
VLOG43 200.18 0.41603 1.0808 0.4239 3.78 0.29024 0.58925 0.2508 0.018755 0.5903 5.7357 2.2807 0.0034472 2.1116 3.3519e-06 0.0028995 0.35121 3.5257 0.81635 0.032739 0.23154 6.508267 0.169466 140 159
VLOG44 164.71 0.42655 1.0115 0.40391 3.8724 0.24964 0.62444 0.21769 0.022452 0.75012 6.8234 2.7326 0.011885 1.4172 2.2324e-05 0.0074687 0.31286 5.4032 0.90077 0.038496 0.16671 7.102647 0.183668 128 161
VLOG45 201.38 0.3722 1.1694 0.40055 3.6118 0.30656 0.73314 0.19609 0.023735 0.58685 7.1796 2.6374 7.3377e-05 1.3457 -9.724e-07 4.6078e-05 0.21588 1.9236 0.70552 0.049905 0.36676 6.728208 0.080109 141 209
VLOG46 211.77 0.38484 1.2476 0.48407 3.783 0.27122 0.64785 0.20876 0.027663 0.63022 7.874 3.6926 0.0017444 1.9581 -1.4127e-05 0.0014433 0.36941 1.6808 0.53241 0.034068 0.31675 6.900654 0.146853 134 176
VLOG47 357.25 0.31135 1.3032 0.71724 3.4118 0.28405 0.62085 0.21373 0.016799 0.74968 2.9986 2.2983 0.00061438 2.0525 -9.7563e-06 0.00045732 0.45449 2.6249 0.74393 0.026533 0.28341 6.239875 0.111842 151 175
VLOG48 158.36 0.44436 1.0777 0.40837 4.0351 0.25969 0.63958 0.21081 0.022337 1.077 8.454 4.8621 0.0052538 2.3114 -4.0899e-05 0.0036178 0.41567 1.507 0.40197 0.032515 0.26674 6.98227 0.536325 116 152
VLOG49 175.08 0.52578 0.70335 0.20102 3.5722 0.32182 0.67114 0.19396 0.015476 0.55762 4.9478 2.3416 0.0078239 1.4142 -4.9211e-05 0.0041573 0.21847 1.9471 0.7466 0.048589 0.38344 1.511253 0 116 148
VLOG50 295.28 0.3695 1.0561 0.42669 3.7122 0.24541 0.66396 0.20396 0.023087 0.69731 6.5602 3.333 0.0031611 2.3013 -3.2259e-05 0.0029253 0.38513 1.428 0.57135 0.033147 0.40011 6.416275 0.150463 136 159
VLOG51 211.87 0.35644 1.1785 0.45726 3.5562 0.3722 0.69367 0.22909 0.020987 0.46194 5.1222 2.2505 0.00077408 1.7989 -2.1555e-06 0.0005376 0.41986 2.6391 0.68793 0.031027 0.26067 7.286483 0.345532 119 138
VLOG52 216.91 0.18131 1.6585 0.52688 3.6663 0.26044 0.80365 0.12454 0.024207 0.43071 8.566 3.8129 0.0047405 1.5244 -1.2068e-05 0.0030743 0.16865 1.607 0.61616 0.058442 0.38344 5.727029 0.271357 128 154
VLOG53 147.7 0.63261 0.69718 0.23805 3.8565 0.28092 0.67917 0.22393 0.014316 0.96676 5.336 3.1102 0.0011407 1.3108 -3.5795e-06 0.0004801 0.34626 2.4198 0.68578 0.035784 0.28341 7.64277 0.324324 137 143
VLOG54 210.47 0.19271 1.4878 0.42252 3.7106 0.27763 0.72216 0.14671 0.022183 0.57511 8.7868 5.334 0.060368 0.564 -8.321e-05 0.0094639 0.24759 1.2693 0.57135 0.045285 0.45012 6.233302 0.084016 118 182
VLOG55 238.75 0.28248 1.3723 0.46821 3.5817 0.39997 0.71754 0.2232 0.028453 0.45637 7.3058 3.3196 0.0017453 1.6284 2.5565e-06 0.0012253 0.33739 1.5956 0.58412 0.03844 0.36609 7.478492 0.258929 118 174
VLOG56 240.03 0.42088 1.3659 0.5316 3.5161 0.34754 0.71501 0.23044 0.028395 0.642 7.2085 2.8181 0.0025024 1.8488 -6.528e-06 0.0018188 0.46333 2.3793 0.67431 0.028481 0.28341 6.88254 0.221386 145 175
VLOG57 214.81 0.25571 1.5519 0.48836 3.6671 0.29936 0.78254 0.16661 0.024596 0.55842 7.7311 5.2833 0.0089828 1.3123 -3.3098e-05 0.0035521 0.29873 1.6208 0.54041 0.040474 0.33342 7.315092 0.305221 129 128
VLOG58 160.3 0.73979 0.78415 0.33853 3.7275 0.38254 0.6859 0.24374 0.014403 0.85429 6.1269 3.0418 0.0023751 1.3571 -2.4344e-05 0.0011529 0.36711 2.0824 0.69432 0.034575 0.33342 6.504005 0.160121 158 145
VLOG59 268.09 0.28207 1.3004 0.44723 4.0194 0.26304 0.60151 0.20908 0.035779 0.83174 9.9714 6.6689 0.00058961 2.9544 7.5178e-07 0.00090113 0.46044 1.208 0.40277 0.029801 0.33342 5.969139 0.043842 113 180
VLOG60 272.8 0.28701 1.4602 0.43787 3.4041 0.46708 0.82002 0.15828 0.03224 0.56041 7.0165 3.686 0.032404 1.2969 -7.6639e-05 0.015897 0.23948 1.997 0.53268 0.04657 0.26674 5.683132 0.038147 107 138
VLOG61 415.39 0.17127 0.7596 0.15581 3.7253 0.19621 0.39131 0.088978 0.0078241 0.1233 1 0 0.016014 0.14748 -3.5712e-06 0.00034506 0.19788 6.704 0.89411 0.055191 0.13337 6.602699 0.212121 157 145
VLOG62 220.97 0.54971 0.95592 0.37984 3.4985 0.41114 0.55131 0.32363 0.015498 0.6276 3.5095 2.7277 0.0096459 2.1364 -9.1076e-05 0.0057833 0.41434 1.9543 0.68418 0.030019 0.35009 7.195659 0.209438 154 178
VLOG63 177.72 0.65287 0.75405 0.24257 3.8208 0.22868 0.72198 0.18083 0.014272 0.70339 6.1137 2.3858 0.13539 0.88802 0.00070158 0.038385 0.31062 1.1193 0.41051 0.037687 0.36676 6.704653 0.102368 116 178
VLOG64 213.78 0.25065 1.4338 0.3698 3.9733 0.2136 0.75208 0.1241 0.037358 1.313 17.496 8.9722 0.010327 1.1266 -1.8768e-05 0.0049821 0.16349 0.61778 0.37077 0.06259 0.60016 7.115064 0.528592 127 171
VLOG65 211.32 0.2112 1.5483 0.65287 3.4511 0.46289 0.8154 0.18886 0.022377 0.36734 4.2805 2.7071 0.0079536 1.5378 5.76e-06 0.0041381 0.31717 2.056 0.68552 0.037354 0.33342 3.98482 0 112 196
VLOG66 268.02 0.15081 1.8152 0.42311 3.3852 0.38408 0.87105 0.10952 0.028142 0.32359 5.6042 2.3091 0.015593 1.132 -0.00018031 0.0061975 0.22115 1.392 0.62657 0.050234 0.45012 6.402369 0.116466 105 112
VLOG67 231.7 0.15992 1.5571 0.47839 3.7181 0.28039 0.81453 0.13453 0.026092 0.50954 7.1533 4.7322 0.0051705 1.592 -2.093e-05 0.0026291 0.28087 1.5951 0.61163 0.044047 0.38344 5.585191 0.04059 114 144
VLOG68 241.86 0.27264 1.8726 0.69822 3.4872 0.3694 0.75388 0.21528 0.02911 0.37283 7.3518 1.763 0.024209 1.1164 -0.00012835 0.012285 0.24592 2.8019 0.79408 0.04266 0.28341 6.638082 0.13007 126 159
VLOG69 148.25 0.49751 1.0589 0.38404 3.7743 0.25671 0.71963 0.17807 0.017358 0.62135 6.3295 3.7123 0.014109 1.3026 -8.3938e-05 0.0067218 0.27661 2.4893 0.78848 0.042287 0.31675 5.544491 0.081181 136 126
VLOG70 223.69 0.27461 1.1026 0.46091 3.8105 0.33421 0.52275 0.29611 0.020663 0.47745 4.6657 1.6354 0.0039322 1.5933 -2.4892e-05 0.0022515 0.17802 2.3776 0.69073 0.053387 0.29052 6.784261 0.099106 143 154
VLOG71 178.62 0.28807 1.3759 0.46578 3.3657 0.39591 0.81537 0.14624 0.02074 0.41585 4.5723 2.8154 0.015074 1.3692 6.8328e-06 0.0073865 0.34695 2.2291 0.70605 0.03589 0.31675 6.778335 0.179841 142 171
VLOG72 144.25 0.48928 1.173 0.41962 3.6364 0.34227 0.79603 0.14703 0.017071 0.5327 6.1467 2.6322 0.0275 0.65833 -0.00018413 0.0083249 0.26832 2.392 0.79755 0.04214 0.33342 4.921929 0.011358 93 177
VLOG73 177.67 0.22689 1.6496 0.6747 3.7225 0.28417 0.79215 0.16937 0.020814 0.52397 7.6453 4.6609 0.0023267 1.4254 -4.7031e-05 0.0013546 0.29064 2.1516 0.75327 0.040722 0.35009 4.581459 0.033557 151 151
VLOG74 287.62 0.15271 1.7014 0.45333 3.7599 0.25953 0.84676 0.1083 0.030287 0.50984 10.547 7.9116 0.0090537 1.0028 -3.6346e-05 0.0031948 0.29685 2.029 0.71032 0.038678 0.35009 5.717753 0.050992 149 177
VLOG75 198.07 0.19913 1.7297 0.61735 3.66 0.29715 0.80758 0.15714 0.022054 0.32382 7.0243 2.7518 0.0014008 1.3526 -9.4393e-06 0.00062548 0.29889 1.853 0.64871 0.039885 0.35009 7.286002 0.325527 140 159
VLOG76 196.68 0.22199 1.651 0.57395 3.4394 0.36777 0.82752 0.12372 0.023235 0.43631 6.2869 3.8433 0.0028209 1.4356 -8.2506e-06 0.001215 0.25469 3.051 0.81295 0.04392 0.26645 3.95208 0 101 119
VLOG77 211.74 0.43037 1.1542 0.46812 3.5802 0.46042 0.5992 0.27313 0.021068 0.79351 6.828 3.8553 0.0010163 9.7002 -2.9468e-05 0.0024792 0.40543 1.0338 0.44812 0.033333 0.43345 6.021859 0.050403 120 192
VLOG78 304.85 0.23825 1.8561 0.43918 3.5021 0.35213 0.81779 0.12747 0.034288 0.35819 7.9799 3.6572 0.020017 1.1487 -1.4282e-05 0.012605 0.25084 2.7859 0.78954 0.041892 0.28341 5.956884 0.107438 136 160
VLOG79 152.17 0.58005 0.91149 0.39255 3.6023 0.24899 0.71379 0.2052 0.016054 0.56516 4.5262 2.628 0.00027603 1.23 -3.2704e-06 0.00012379 0.3493 1.5287 0.56068 0.036632 0.36676 6.84706 0.131944 129 170
VLOG80 141.85 0.45087 0.8612 0.31612 3.2122 0.34945 0.73339 0.2048 0.014526 0.42543 5.1174 2.4023 0.0038042 2.344 1.0391e-05 0.0027128 0.37312 2.91 0.77621 0.034364 0.26674 2.437988 0 106 157
VLOG81 301.28 0.28022 1.6947 0.48039 3.3563 0.50116 0.72774 0.21201 0.033769 0.56283 7.6637 5.2258 0.02112 3.3669 -1.9268e-05 0.012352 0.3984 1.2648 0.3817 0.033289 0.30178 7.425359 0.309443 128 166
VLOG83 215.19 0.21515 1.4797 0.39353 3.6417 0.31759 0.81579 0.13163 0.02433 0.31959 6.5593 2.9838 0.0013 0.95491 -9.1947e-06 0.00049355 0.26227 2.2007 0.71217 0.041309 0.32361 5.468479 0.041293 158 130
VLOG84 232.33 0.25913 1.5259 0.45006 3.5166 0.33284 0.77845 0.14957 0.026328 0.36938 6.1176 2.3565 0.0022191 1.6466 2.5692e-05 0.0014912 0.1645 2.2096 0.73673 0.055395 0.33342 7.099274 0.279597 133 165
VLOG86 291.75 0.46702 0.70337 0.18169 3.8428 0.24131 0.56686 0.17733 0.026423 0.82261 7.1743 2.868 0.014973 0.82641 -0.00011614 0.0059775 0.90895 7.5893 0.75914 0.014758 0.10003 5.309172 0.026565 150 156
VLOG87 292.14 0.52716 0.73668 0.2817 3.6486 0.47362 0.47828 0.2579 0.012009 0.63597 2.4697 1.8969 0.019756 1.8773 -0.00019399 0.010981 0.29214 2.0613 0.61692 0.036654 0.29928 7.48724 0.433875 129 149
VLOG88 166.78 0.5192 0.65106 0.20953 3.8821 0.22387 0.64475 0.17686 0.013836 0.48644 5.0883 1.9177 0.00032354 1.8782 -1.0876e-06 0.00021728 0.26695 2.5431 0.72073 0.042191 0.28341 1.695349 0 113 163
VLOG89 236.56 0.27455 1.4829 0.45043 3.616 0.36265 0.68584 0.23173 0.028049 0.39199 7.2763 3.2996 0.00063086 1.7829 6.0134e-06 0.00047634 0.25823 2.0785 0.72766 0.044721 0.35009 3.478721 0.009217 152 154
VLOG90 152.48 0.33183 1.0474 0.39585 3.7624 0.30432 0.70772 0.22508 0.017346 0.40431 5.1794 2.9241 0.0014555 1.2483 -1.7303e-06 0.00069773 0.25151 3.007 0.80208 0.046225 0.26674 6.905295 0.111835 131 147
VLOG91 163.85 0.56874 0.86476 0.29334 4.2175 0.18761 0.53206 0.19858 0.037955 1.4811 13.585 7.7921 0.0006983 2.1014 3.4936e-06 0.00075592 0.45971 1.548 0.63861 0.030269 0.41254 5.559971 0.060088 105 165
VLOG92 227.29 0.30961 1.3487 0.43779 3.6488 0.34175 0.68174 0.21005 0.028716 0.55413 8.3479 4.1248 0.00050493 2.1247 6.8398e-07 0.0004067 0.44226 1.6673 0.66711 0.031188 0.40011 5.141845 0.02795 163 180
VLOG93 149.88 0.20349 0.85133 0.18645 3.1242 0.32432 0.86725 0.13825 0.012343 0.34673 2.0458 0.21624 0.0035355 0.6947 -8.3971e-07 0.00074081 0.69867 2.798 0.37317 0.021444 0.13337 3.006528 0 161 168
VLOG94 214.61 0.32209 1.4916 0.61161 3.6437 0.31343 0.77623 0.17814 0.024036 0.62982 6.5917 3.7838 0.012522 0.65316 -0.0001271 0.0031557 0.27749 2.1086 0.66791 0.041933 0.31675 5.839519 0.094737 140 132
VLOG96 173.15 0.53995 0.74011 0.25166 3.7325 0.24934 0.46579 0.20441 0.015874 0.79885 5.3672 2.9657 0.011519 1.8127 -2.345e-05 0.0085384 0.45129 1.8182 0.66684 0.0292 0.36676 7.09157 0.186641 146 155
VLOG97 315.74 0.49413 0.80696 0.27281 3.2609 0.5845 0.41448 0.30844 0.0090695 0.51434 1.5333 0.76358 0.010139 1.1823 -3.5275e-05 0.0052725 0.41417 7.8949 0.92131 0.0304 0.1167 3.873739 0 147 112
VLOG98 166.46 0.38064 1.1544 0.39135 3.77 0.27091 0.70391 0.16957 0.021788 0.63475 7.3224 2.7174 0.0078277 1.3496 3.5367e-05 0.0044245 0.314 3.2 0.80021 0.037333 0.25007 7.401586 0.313107 144 175
VLOG99 224.98 0.24854 1.3001 0.55497 3.7495 0.31312 0.67442 0.22274 0.024853 0.49142 6.1438 2.8283 0.0014258 1.2611 7.8818e-06 0.00070883 0.20707 2.3351 0.70072 0.052151 0.30008 5.699875 0.039548 162 177
VLOG100 141.96 0.54621 0.82024 0.27563 3.7107 0.24554 0.73794 0.14167 0.013749 0.49828 4.9142 2.5004 0.0039344 1.6293 3.1702e-05 0.0021895 0.19332 1.0859 0.56062 0.051806 0.51625 6.675061 0.336498 124 155
VLOG102 226.56 0.39936 1.1869 0.43425 3.6734 0.40346 0.54411 0.28087 0.018481 0.51047 5.2477 3.4879 0.0049353 2.6779 6.3356e-05 0.006241 0.30051 1.5047 0.59995 0.038547 0.39872 6.697929 0.22836 126 163
VLOG103 208.49 0.2468 1.3403 0.38734 3.6072 0.27732 0.79931 0.1643 0.023281 0.36553 5.5929 2.0421 0.0094889 1.1505 -9.7309e-05 0.0044218 0.26597 1.4147 0.44812 0.041071 0.31675 7.091425 0.352357 120 153
VLOG104 213.54 0.22444 1.4025 0.46602 3.6418 0.28958 0.78664 0.17256 0.02304 0.32844 6.2637 2.6408 0.00012061 1.2404 4.2556e-07 6.1488e-05 0.203 1.8213 0.72873 0.052709 0.40011 4.898239 0.021692 104 172
VLOG105 167.5 0.53111 1.0243 0.39357 3.6057 0.37455 0.69691 0.21984 0.017164 0.57663 4.5853 2.4569 0.016565 1.4607 -0.0001757 0.010962 0.36829 6.932 0.92451 0.032025 0.13337 7.268305 0.209197 106 167
VLOG106 361.08 0.35353 0.9376 0.50388 3.0232 0.68041 0.63906 0.30019 0.010814 0.65242 1.4435 1.0207 0.12442 0.57522 -0.00048026 0.027253 0.616 5.1017 0.59536 0.024194 0.1167 7.074073 0.190981 113 177
VLOG107 218.59 0.38503 1.5885 0.82593 3.6712 0.31265 0.68512 0.20152 0.022305 0.68263 9.6243 6.2302 0.003168 1.9033 -1.9524e-06 0.0021856 0.49161 2.3872 0.59696 0.027703 0.25007 6.721152 0.127219 153 149
VLOG108 248.43 0.12644 1.8164 0.59347 3.4313 0.36355 0.71536 0.17336 0.027389 0.26075 5.515 2.9651 0.004732 0.46377 2.7218e-05 0.0021124 0.22469 2.6594 0.6207 0.04985 0.2334 5.667756 0.064748 84 172
VLOG109 184.41 0.18054 1.5384 0.48348 3.4117 0.27178 0.86551 0.096712 0.018174 0.34185 3.3734 1.7433 0.00043863 0.65657 -4.1653e-06 9.7746e-05 0.26078 0.89806 0.46412 0.044253 0.5168 4.384744 0.01476 123 155
VLOG110 178.62 0.50839 1.1589 0.36524 3.6466 0.2628 0.7289 0.18396 0.022077 0.64236 7.2777 2.1158 0.006443 0.93923 -3.2515e-06 0.0026465 0.30464 3.9852 0.8637 0.038604 0.21672 4.440917 0.018884 147 162
VLOG111 233.42 0.23677 1.6162 0.50169 3.3441 0.40455 0.79468 0.16284 0.026713 0.39506 6.0925 3.1419 0.013919 1.1779 -6.3187e-05 0.0058417 0.52778 4.096 0.81942 0.024089 0.20005 7.464906 0.292428 129 147
VLOG112 234.16 0.2899 1.0193 0.36102 3.4176 0.36895 0.74131 0.1772 0.017425 1.6065 4.889 3.5658 0.00040569 0.93408 1.6389e-06 0.000144 0.24389 1.8126 0.63457 0.046658 0.35009 4.262534 0.02381 139 185
VLOG113 229.07 0.21856 1.4569 0.45032 3.7838 0.30159 0.73721 0.2242 0.024778 0.36594 6.9171 3.6026 0.00061684 2.0036 -1.3063e-05 0.00051404 0.22623 1.8887 0.69272 0.046977 0.36676 6.130857 0.085859 119 162
VLOG114 192.59 0.34476 1.1729 0.37162 3.8154 0.23593 0.7403 0.16009 0.023851 0.63404 7.989 2.6944 0.0092417 2.2314 -1.9223e-05 0.014566 0.1828 1.8217 0.63709 0.053116 0.34972 6.828728 0.192573 142 193
VLOG116 183.17 0.64005 1.0215 0.36621 3.6158 0.2753 0.69729 0.20919 0.021398 1.0689 7.2839 3.906 0.0076295 1.123 -1.8087e-05 0.0032787 0.29484 1.5531 0.67344 0.041563 0.43361 4.892841 0.026531 144 138
VLOG117 276.09 0.24548 1.6533 0.48447 3.8583 0.32646 0.68698 0.17611 0.049595 1.1072 13.862 9.4723 0.017756 2.0516 -4.7417e-05 0.01032 0.29139 1.481 0.56683 0.039925 0.38272 7.079371 0.294031 113 163
VLOG118 162.23 0.28915 1.2117 0.37556 3.4912 0.29551 0.74914 0.18192 0.019684 0.46394 6.73 2.6798 0.0078378 1.2722 -1.2361e-05 0.0038583 0.38581 5.368 0.89324 0.031595 0.1664 6.270065 0.159066 140 157
